age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
69;blue-collar;married;primary;no;10251;no;no;cellular;9;oct;1568;18;-1;9;unknown;no
32;blue-collar;married;secondary;no;1670;yes;no;cellular;8;nov;1986;1;-1;7;unknown;no
89;blue-collar;married;primary;no;1323;no;no;unknown;4;nov;1510;13;-1;7;unknown;yes
78;blue-collar;divorced;primary;no;5120;yes;no;unknown;8;apr;479;1;-1;4;unknown;yes
38;unemployed;married;secondary;no;5859;yes;yes;cellular;23;mar;1711;13;7;9;unknown;no
92;technician;married;tertiary;no;-1901;yes;no;cellular;22;jan;43;21;56;1;unknown;no
92;management;married;tertiary;no;1656;no;no;cellular;10;feb;874;5;389;3;unknown;no
41;technician;single;secondary;no;10709;yes;no;cellular;28;sep;2402;23;-1;0;success;yes
20;blue-collar;married;tertiary;no;4786;yes;no;telephone;18;jan;1723;17;-1;9;unknown;yes
39;services;single;secondary;no;-1307;yes;no;cellular;15;may;1035;16;-1;0;unknown;no
70;technician;married;unknown;no;6209;no;no;unknown;19;feb;355;21;-1;9;unknown;no
19;housemaid;single;secondary;no;1709;yes;yes;cellular;20;apr;2942;18;-1;2;unknown;no
47;student;married;secondary;no;12843;yes;no;cellular;23;nov;473;10;-1;3;unknown;no
55;blue-collar;married;secondary;no;2209;yes;no;unknown;24;jul;2100;17;-1;2;unknown;yes
19;blue-collar;divorced;secondary;no;12846;yes;no;cellular;30;may;2036;7;170;2;unknown;no
81;admin.;single;tertiary;no;8088;yes;yes;cellular;11;jan;2160;15;-1;7;unknown;no
77;management;married;secondary;no;10380;yes;no;cellular;24;mar;1839;19;-1;3;unknown;no
38;services;married;secondary;no;7707;no;no;unknown;4;oct;1643;27;-1;2;unknown;no
50;unemployed;married;secondary;no;4906;yes;no;cellular;9;sep;1501;9;-1;8;unknown;no
93;retired;single;secondary;yes;13895;no;no;cellular;8;jan;814;21;-1;0;unknown;no
75;technician;married;secondary;no;13212;no;no;unknown;16;oct;1090;21;-1;7;failure;yes
39;technician;married;secondary;no;12323;yes;yes;cellular;27;apr;2367;5;-1;4;unknown;yes
66;blue-collar;married;tertiary;no;-1834;no;no;unknown;13;may;2681;25;-1;7;unknown;yes
76;management;single;tertiary;no;5348;no;no;cellular;5;oct;400;29;-1;9;unknown;no
59;blue-collar;single;secondary;no;-1425;no;no;unknown;13;mar;1323;10;-1;2;failure;no
77;services;single;secondary;no;5171;no;no;unknown;19;mar;4;13;294;5;unknown;no
32;unemployed;married;tertiary;no;13748;no;no;cellular;2;jan;1258;1;-1;6;unknown;yes
79;blue-collar;divorced;primary;no;1343;yes;no;cellular;12;jun;2034;21;-1;7;unknown;no
79;services;single;secondary;no;7347;no;no;unknown;9;dec;2494;26;-1;6;unknown;no
64;self-employed;divorced;tertiary;no;7727;yes;no;telephone;1;apr;1870;6;343;6;unknown;no
79;retired;married;secondary;no;8925;no;no;cellular;23;aug;2045;25;-1;1;unknown;no
68;management;married;primary;no;5979;yes;no;unknown;27;jun;2086;3;-1;2;unknown;no
72;housemaid;single;secondary;no;7154;no;no;cellular;29;mar;199;17;-1;5;unknown;yes
81;admin.;married;secondary;no;3409;yes;no;cellular;14;dec;1705;12;-1;2;unknown;no
20;blue-collar;married;unknown;no;2541;no;yes;cellular;7;jul;2068;27;-1;8;unknown;no
68;admin.;single;secondary;no;-933;no;no;cellular;17;mar;2843;11;-1;8;failure;no
24;retired;single;unknown;no;4909;no;no;cellular;30;sep;2196;8;-1;5;other;no
38;admin.;divorced;secondary;yes;12236;no;no;cellular;23;aug;624;25;-1;0;unknown;no
90;technician;single;secondary;no;8929;yes;no;unknown;14;mar;2133;12;-1;0;unknown;yes
56;management;married;secondary;no;6292;no;no;cellular;17;nov;1125;11;-1;3;success;no
35;services;married;secondary;no;13319;no;no;cellular;2;feb;2578;22;-1;9;unknown;no
21;management;married;secondary;no;816;no;no;unknown;9;mar;2110;5;-1;7;unknown;no
77;management;married;secondary;no;4411;no;no;cellular;15;apr;1651;28;-1;2;unknown;yes
31;unemployed;married;tertiary;no;13721;yes;no;cellular;24;mar;691;8;-1;3;unknown;no
26;admin.;married;unknown;no;14791;yes;no;unknown;16;sep;2597;12;32;5;unknown;no
70;blue-collar;married;secondary;no;5204;yes;no;telephone;9;dec;813;22;77;8;unknown;yes
19;technician;single;primary;no;-261;no;no;cellular;28;nov;2455;6;326;3;unknown;yes
77;admin.;divorced;tertiary;no;2052;yes;no;cellular;25;oct;1627;9;-1;2;unknown;yes
88;admin.;single;secondary;no;14642;no;no;cellular;4;feb;520;25;-1;9;unknown;no
61;housemaid;single;primary;no;3786;yes;no;unknown;15;aug;2580;17;379;9;unknown;no
25;admin.;single;tertiary;no;10013;no;yes;cellular;21;jul;2071;28;-1;8;failure;yes
64;retired;divorced;primary;no;10596;no;yes;cellular;10;jan;2142;2;-1;6;unknown;no
52;blue-collar;single;secondary;no;2720;yes;no;unknown;7;jun;295;1;-1;8;unknown;no
53;technician;single;secondary;no;12445;no;no;cellular;6;jun;1154;18;111;9;unknown;yes
67;technician;divorced;secondary;no;1726;no;yes;cellular;15;sep;532;3;-1;5;unknown;no
21;services;divorced;secondary;no;-1322;yes;no;cellular;25;dec;1031;29;-1;3;unknown;no
19;retired;married;tertiary;no;11029;yes;no;cellular;2;oct;887;14;-1;4;failure;yes
23;technician;married;tertiary;no;7098;yes;no;telephone;24;nov;2925;13;-1;9;unknown;no
71;blue-collar;married;secondary;no;6459;no;no;cellular;30;aug;2432;2;-1;1;success;yes
21;technician;married;secondary;no;4126;yes;no;cellular;15;jul;2595;22;-1;2;unknown;no
71;technician;married;secondary;no;11227;yes;no;cellular;18;jul;1429;4;-1;4;unknown;yes
80;services;married;tertiary;no;2906;yes;no;cellular;14;may;2420;15;-1;2;unknown;no
35;management;married;unknown;no;5898;yes;no;unknown;30;feb;2604;5;-1;2;unknown;yes
61;blue-collar;married;tertiary;no;12439;no;no;telephone;18;oct;2703;10;-1;8;unknown;no
51;management;single;secondary;no;-884;no;no;cellular;3;dec;2046;9;211;3;unknown;no
91;technician;married;tertiary;no;4344;yes;no;cellular;20;may;522;18;-1;3;unknown;no
79;admin.;single;secondary;no;7090;no;no;cellular;22;jan;834;3;-1;0;unknown;no
31;technician;single;secondary;no;11212;no;no;cellular;14;nov;1377;14;-1;6;unknown;yes
65;blue-collar;married;secondary;no;12078;yes;no;unknown;6;oct;510;10;289;9;unknown;no
32;blue-collar;divorced;secondary;no;8836;yes;yes;unknown;14;jun;2905;17;-1;8;unknown;no
89;blue-collar;married;tertiary;no;6152;no;yes;cellular;2;feb;211;15;-1;7;unknown;no
79;admin.;married;tertiary;no;6979;no;no;cellular;22;dec;926;18;-1;1;unknown;yes
57;management;married;primary;no;10686;no;yes;cellular;16;jan;2672;17;-1;5;unknown;no
70;blue-collar;married;secondary;no;8836;yes;yes;cellular;24;jan;344;25;-1;9;failure;no
41;unknown;married;secondary;no;8356;no;no;cellular;16;jan;335;3;-1;9;unknown;no
43;management;married;secondary;no;6395;no;no;cellular;21;apr;1363;16;-1;4;unknown;no
77;blue-collar;married;secondary;no;491;no;no;cellular;17;dec;1897;19;-1;7;unknown;no
58;services;married;primary;no;11928;no;no;cellular;16;may;1907;13;-1;0;unknown;yes
46;technician;married;secondary;no;5004;no;no;cellular;16;may;1701;23;-1;8;unknown;no
32;services;single;tertiary;no;9560;no;no;unknown;8;nov;2101;17;-1;8;failure;no
62;admin.;married;tertiary;no;5011;yes;no;unknown;6;jan;604;25;-1;6;success;no
82;technician;married;unknown;no;9750;no;no;cellular;18;dec;295;23;201;7;unknown;no
88;technician;married;tertiary;no;2862;yes;yes;cellular;23;nov;2748;16;303;8;unknown;yes
26;blue-collar;married;primary;no;3350;no;no;cellular;14;jun;387;9;185;4;failure;no
18;admin.;married;tertiary;no;10682;yes;yes;unknown;16;mar;1825;24;-1;1;unknown;no
25;management;single;secondary;no;10535;no;no;unknown;8;apr;1496;21;-1;0;failure;yes
80;blue-collar;married;tertiary;no;9703;yes;yes;unknown;18;may;1567;12;-1;4;unknown;no
28;technician;single;secondary;no;7611;no;no;telephone;14;dec;1937;3;-1;7;unknown;yes
25;housemaid;single;tertiary;no;13096;yes;no;cellular;17;apr;1354;27;-1;9;unknown;no
52;technician;married;secondary;no;12106;yes;no;cellular;22;apr;1975;9;-1;3;unknown;no
52;management;married;primary;no;-1645;no;no;cellular;29;oct;36;16;-1;3;unknown;no
50;blue-collar;divorced;secondary;no;6432;no;no;cellular;22;jan;182;5;320;3;unknown;no
22;blue-collar;single;secondary;no;13700;yes;no;cellular;8;feb;2339;25;-1;7;unknown;yes
58;management;married;tertiary;no;11850;yes;no;unknown;30;feb;1545;19;-1;6;unknown;yes
45;student;single;secondary;no;9935;yes;no;unknown;16;feb;69;22;258;0;unknown;no
24;technician;single;secondary;no;4704;no;no;cellular;23;oct;236;13;60;9;unknown;no
90;blue-collar;married;tertiary;no;13379;no;no;unknown;24;jan;463;2;229;5;unknown;yes
89;blue-collar;divorced;secondary;no;7252;no;no;cellular;10;oct;1141;19;-1;3;failure;yes
29;admin.;married;secondary;no;6573;yes;no;unknown;10;aug;190;18;-1;1;failure;no
51;services;married;secondary;no;-868;yes;yes;unknown;30;jan;929;12;-1;2;unknown;yes
50;admin.;divorced;secondary;no;13534;no;no;cellular;21;aug;1886;18;-1;3;failure;no
65;management;single;tertiary;no;9030;yes;no;cellular;18;jan;2448;5;26;9;unknown;yes
40;retired;married;tertiary;no;79;no;no;cellular;21;oct;1914;26;340;6;other;no
79;technician;married;tertiary;no;-1056;yes;no;unknown;18;mar;316;20;-1;0;unknown;no
54;blue-collar;single;primary;no;3840;no;no;cellular;9;sep;717;27;-1;0;unknown;yes
61;blue-collar;single;secondary;no;4674;no;no;unknown;21;aug;2269;20;253;2;failure;no
52;self-employed;single;primary;no;8721;yes;yes;cellular;1;feb;657;29;20;1;unknown;no
82;retired;divorced;tertiary;no;10493;no;no;telephone;25;apr;1212;8;-1;2;unknown;no
64;entrepreneur;single;primary;no;9510;yes;no;unknown;16;aug;2339;22;-1;2;failure;no
20;technician;married;primary;no;-1166;yes;no;telephone;10;dec;2996;16;-1;0;unknown;yes
18;technician;married;secondary;no;2184;yes;no;cellular;15;sep;2270;26;-1;5;success;yes
22;blue-collar;married;secondary;no;5178;yes;no;cellular;5;jul;757;2;61;7;unknown;no
31;blue-collar;single;tertiary;no;3168;yes;no;cellular;27;jan;2806;13;-1;4;unknown;no
44;management;single;secondary;no;2991;no;no;cellular;17;aug;1440;1;-1;0;success;yes
26;technician;married;secondary;no;6146;yes;no;cellular;9;dec;1983;5;-1;9;unknown;no
32;admin.;married;secondary;no;11884;yes;no;cellular;25;jan;2085;23;-1;6;unknown;yes
59;services;married;tertiary;no;3290;yes;yes;unknown;26;sep;1476;21;-1;9;unknown;no
94;self-employed;married;secondary;no;12844;yes;no;cellular;26;aug;1230;12;-1;8;unknown;no
68;blue-collar;married;secondary;no;6151;yes;no;unknown;25;apr;2973;4;275;6;unknown;no
80;services;married;secondary;no;-1972;yes;no;cellular;6;oct;2447;5;-1;8;unknown;yes
69;unemployed;married;secondary;no;5934;no;no;cellular;26;dec;1973;11;-1;9;unknown;no
21;admin.;married;tertiary;no;572;no;no;cellular;26;nov;1383;10;-1;8;unknown;yes
40;blue-collar;married;primary;no;13281;no;no;cellular;2;apr;2012;8;-1;1;unknown;yes
32;management;married;tertiary;no;6051;yes;no;cellular;28;apr;1029;21;386;7;unknown;yes
60;technician;single;secondary;no;127;no;yes;cellular;13;jun;997;9;-1;6;unknown;no
46;unemployed;married;tertiary;no;8083;yes;no;unknown;23;feb;1496;26;-1;6;unknown;no
53;management;single;tertiary;no;7933;yes;no;cellular;18;apr;1627;7;-1;1;unknown;no
30;student;single;secondary;no;13877;yes;no;cellular;20;apr;2560;27;169;0;unknown;no
49;management;married;secondary;no;-187;yes;no;cellular;4;aug;2829;29;-1;3;unknown;yes
88;management;married;secondary;no;10519;no;no;unknown;10;feb;82;14;-1;6;unknown;no
76;blue-collar;divorced;secondary;no;5816;yes;yes;telephone;23;aug;1400;11;8;5;unknown;no
45;blue-collar;single;secondary;no;6351;no;no;unknown;22;dec;2382;18;-1;9;unknown;no
83;blue-collar;divorced;secondary;no;13648;yes;no;cellular;28;oct;658;25;-1;1;unknown;no
59;management;single;tertiary;no;9234;no;no;cellular;11;nov;2149;18;-1;6;unknown;yes
62;admin.;married;secondary;no;6496;no;no;cellular;28;feb;1311;22;-1;9;unknown;no
79;technician;married;tertiary;no;10133;yes;yes;unknown;13;sep;2872;8;-1;8;unknown;no
74;blue-collar;married;secondary;no;6591;no;no;cellular;28;sep;1054;2;-1;1;unknown;no
23;blue-collar;married;secondary;no;9712;no;no;cellular;26;jun;1337;22;-1;9;unknown;no
45;management;married;tertiary;no;4249;no;yes;cellular;23;oct;2201;21;243;4;unknown;no
45;services;single;tertiary;no;13441;no;no;cellular;22;dec;2607;7;-1;1;unknown;yes
61;admin.;married;secondary;no;4485;no;no;cellular;17;may;1914;26;-1;0;unknown;no
47;blue-collar;married;tertiary;no;7177;yes;no;cellular;11;jul;1576;29;-1;6;unknown;no
79;unemployed;single;tertiary;no;-195;no;no;cellular;4;aug;942;5;-1;1;unknown;no
92;blue-collar;single;secondary;no;96;yes;no;unknown;14;aug;693;14;-1;5;failure;no
79;blue-collar;married;secondary;no;10493;yes;no;cellular;3;mar;231;14;-1;6;failure;no
18;technician;single;secondary;no;3337;no;no;cellular;23;mar;1144;3;10;0;unknown;no
44;admin.;single;primary;no;14035;yes;no;cellular;29;may;1852;6;-1;8;unknown;no
79;management;married;primary;no;7537;yes;no;unknown;23;may;387;23;-1;5;unknown;no
94;management;married;secondary;no;6422;yes;no;cellular;12;feb;1950;17;-1;1;failure;yes
20;blue-collar;married;secondary;yes;1782;yes;no;cellular;28;may;2679;24;-1;0;unknown;no
87;blue-collar;married;tertiary;no;11798;yes;no;cellular;27;jan;863;8;-1;0;unknown;no
89;admin.;married;tertiary;no;7074;no;no;cellular;4;nov;1249;29;-1;1;unknown;no
44;blue-collar;divorced;secondary;no;4419;yes;no;cellular;16;jul;1647;20;-1;8;unknown;yes
26;admin.;single;primary;no;6624;no;no;cellular;7;nov;1218;24;-1;1;unknown;no
79;technician;single;secondary;no;5889;yes;no;telephone;20;jul;808;3;-1;0;success;yes
54;management;divorced;secondary;no;8455;no;no;unknown;25;jan;1049;29;-1;3;unknown;yes
68;management;divorced;secondary;no;12432;no;yes;unknown;19;mar;1987;15;-1;8;unknown;no
61;technician;married;primary;no;9194;yes;no;cellular;26;aug;2902;5;-1;7;unknown;yes
41;self-employed;married;secondary;no;5570;no;no;cellular;18;nov;536;19;-1;6;unknown;no
76;admin.;single;tertiary;no;-1383;no;no;unknown;21;sep;2606;2;62;7;unknown;no
49;unemployed;married;tertiary;no;10684;no;no;unknown;9;mar;710;21;-1;1;unknown;no
69;blue-collar;married;tertiary;no;6509;yes;no;cellular;11;jun;1287;8;-1;4;unknown;no
79;admin.;single;tertiary;no;12717;no;no;cellular;19;jun;1538;9;-1;6;unknown;yes
75;student;divorced;secondary;no;4285;no;no;unknown;17;jun;1494;5;-1;0;unknown;no
69;management;married;primary;no;-1544;yes;yes;cellular;25;may;2286;3;-1;5;unknown;yes
29;management;single;tertiary;no;-1500;yes;no;unknown;21;jun;2336;12;-1;6;unknown;no
56;blue-collar;married;tertiary;no;1874;yes;yes;cellular;18;jun;367;3;-1;7;unknown;no
19;management;single;secondary;no;2973;yes;no;cellular;6;oct;411;24;18;4;unknown;yes
20;blue-collar;married;secondary;no;2774;no;no;cellular;3;jun;353;19;-1;7;unknown;no
73;technician;single;secondary;no;13519;yes;no;cellular;14;aug;1565;16;-1;9;unknown;yes
76;blue-collar;married;primary;no;12349;yes;yes;cellular;9;nov;1582;25;-1;0;unknown;yes
19;technician;single;primary;no;11622;no;no;unknown;3;jun;2467;26;237;3;unknown;no
19;management;married;secondary;no;2716;yes;no;telephone;2;dec;1338;16;-1;5;unknown;no
71;technician;married;secondary;no;7820;yes;no;unknown;19;mar;781;1;49;3;unknown;no
18;services;married;primary;no;14087;yes;yes;cellular;6;jul;328;17;-1;4;failure;no
36;services;married;primary;no;11302;yes;no;cellular;3;jun;1493;21;-1;1;success;yes
19;entrepreneur;married;tertiary;no;1234;yes;yes;cellular;25;nov;2920;20;-1;6;failure;no
70;blue-collar;married;secondary;no;4494;yes;no;unknown;25;sep;2829;3;-1;8;unknown;no
61;blue-collar;single;secondary;no;12239;yes;no;cellular;9;apr;1486;17;-1;6;unknown;no
49;technician;single;secondary;no;2498;no;no;cellular;18;jan;737;23;-1;0;unknown;no
87;technician;married;unknown;no;9430;no;no;unknown;7;jun;1271;17;-1;1;unknown;no
49;management;single;primary;no;3267;yes;no;cellular;28;sep;1194;16;-1;7;unknown;no
85;blue-collar;married;secondary;no;10546;no;no;unknown;2;aug;2796;6;-1;0;unknown;no
72;management;married;secondary;no;1669;no;no;unknown;1;feb;747;26;-1;1;unknown;yes
92;retired;married;primary;no;7657;yes;no;cellular;5;mar;1794;18;308;4;unknown;yes
73;management;married;secondary;no;-39;no;yes;cellular;27;aug;1302;14;105;5;unknown;yes
34;technician;married;secondary;no;11940;no;yes;unknown;27;dec;2195;20;-1;0;failure;yes
55;unknown;divorced;unknown;no;10093;yes;yes;cellular;24;nov;2668;8;-1;0;success;no
41;blue-collar;married;tertiary;no;6734;yes;no;cellular;30;sep;142;19;287;1;unknown;no
86;management;married;tertiary;no;1516;yes;no;cellular;3;aug;975;9;-1;2;unknown;no
87;management;married;primary;no;13032;yes;no;cellular;7;oct;70;21;-1;8;unknown;no
28;blue-collar;divorced;tertiary;yes;5233;no;no;unknown;6;jan;1952;22;-1;2;unknown;yes
33;blue-collar;single;primary;yes;11170;no;yes;unknown;27;mar;2358;18;-1;7;unknown;no
90;admin.;single;secondary;no;3947;yes;no;unknown;29;nov;637;1;-1;5;unknown;yes
76;technician;divorced;tertiary;no;14958;no;no;unknown;30;aug;466;21;-1;9;unknown;no
87;management;divorced;secondary;no;5395;no;no;cellular;1;jan;2641;17;399;4;unknown;no
20;management;single;secondary;no;1172;yes;no;unknown;28;dec;40;4;-1;8;failure;no
37;technician;married;primary;no;1427;no;no;cellular;23;jul;2946;16;-1;7;unknown;no
76;technician;single;secondary;no;5798;no;no;cellular;19;apr;770;24;-1;2;unknown;no
53;blue-collar;married;tertiary;no;5736;yes;no;unknown;30;dec;2403;12;-1;6;unknown;yes
36;management;single;secondary;no;13490;yes;no;cellular;20;jul;1167;13;-1;3;unknown;no
84;management;single;primary;no;8707;yes;no;unknown;14;apr;1706;2;-1;7;unknown;no
36;technician;single;secondary;no;9743;yes;no;cellular;10;aug;278;22;-1;6;unknown;no
37;services;married;tertiary;no;2206;yes;no;unknown;2;dec;2702;12;-1;2;failure;no
88;services;single;primary;no;1313;yes;no;cellular;11;jun;57;10;-1;6;unknown;yes
69;entrepreneur;divorced;secondary;no;13055;yes;no;cellular;16;oct;167;29;-1;5;other;yes
50;technician;married;tertiary;no;6873;no;no;cellular;17;oct;1653;15;-1;5;failure;no
57;admin.;married;primary;no;2458;yes;yes;cellular;5;aug;2420;5;-1;9;unknown;yes
56;blue-collar;single;secondary;no;7350;yes;no;cellular;22;dec;81;1;241;2;unknown;no
18;entrepreneur;divorced;tertiary;no;6184;no;no;unknown;27;jan;1893;8;-1;3;unknown;no
28;admin.;married;secondary;no;13865;no;no;telephone;18;sep;133;21;-1;3;unknown;no
74;blue-collar;married;tertiary;no;341;yes;no;cellular;16;nov;2411;25;-1;5;unknown;no
67;technician;married;primary;no;-162;yes;no;cellular;10;dec;1508;18;-1;8;failure;yes
40;unemployed;married;tertiary;no;3538;no;no;cellular;6;sep;1069;6;-1;4;unknown;no
48;blue-collar;divorced;tertiary;no;9469;yes;no;cellular;22;jun;261;23;-1;7;unknown;no
59;blue-collar;single;secondary;no;7533;yes;no;cellular;24;sep;2516;1;-1;4;unknown;no
24;blue-collar;single;primary;no;3477;yes;no;cellular;8;jun;2139;14;-1;5;unknown;yes
33;blue-collar;married;unknown;no;7363;yes;no;unknown;6;jun;1939;10;124;5;failure;no
77;admin.;single;secondary;no;10264;yes;no;cellular;23;apr;18;4;289;3;unknown;no
19;technician;married;secondary;no;11536;yes;no;cellular;4;mar;2317;18;-1;9;unknown;no
18;blue-collar;married;secondary;no;9819;no;yes;cellular;5;mar;576;23;-1;9;unknown;no
65;management;married;tertiary;no;10191;no;yes;cellular;6;feb;2035;19;-1;4;unknown;no
29;admin.;married;tertiary;no;4499;no;no;unknown;15;apr;2911;25;-1;3;unknown;no
86;technician;married;secondary;no;10079;yes;no;cellular;6;sep;668;8;-1;1;success;no
54;services;married;secondary;no;6762;yes;no;cellular;19;jul;2462;12;-1;1;unknown;no
49;unemployed;married;tertiary;no;4045;no;no;cellular;25;mar;1688;10;-1;7;failure;yes
26;technician;married;tertiary;no;10176;yes;no;unknown;20;aug;1270;13;-1;3;unknown;yes
36;blue-collar;single;secondary;no;9333;yes;no;telephone;8;sep;1734;7;-1;8;failure;yes
65;blue-collar;married;unknown;no;6638;yes;no;cellular;13;jan;1325;24;-1;5;unknown;yes
20;services;divorced;tertiary;no;11070;yes;no;cellular;4;dec;2063;17;-1;4;unknown;yes
37;housemaid;married;secondary;no;3039;yes;no;cellular;22;jan;619;26;-1;6;unknown;yes
41;management;single;tertiary;no;13265;yes;yes;cellular;17;sep;2550;12;-1;5;failure;yes
71;admin.;divorced;secondary;no;973;no;no;unknown;14;sep;1899;6;-1;3;unknown;yes
50;admin.;divorced;primary;no;2626;yes;yes;cellular;18;jul;2743;23;-1;9;unknown;yes
41;management;single;secondary;no;14502;no;no;unknown;15;mar;1001;7;-1;8;unknown;no
92;management;married;tertiary;no;5999;no;no;cellular;22;apr;2231;13;-1;5;unknown;no
89;student;married;tertiary;no;292;yes;no;cellular;19;jul;440;14;-1;2;unknown;no
53;blue-collar;married;secondary;no;12859;no;no;unknown;11;sep;580;25;-1;3;failure;no
55;management;married;secondary;no;14807;no;yes;cellular;7;aug;375;23;-1;3;unknown;no
42;blue-collar;married;secondary;no;1819;yes;no;cellular;1;aug;1985;28;-1;7;unknown;yes
35;admin.;single;tertiary;no;10682;yes;no;unknown;30;jan;1481;23;84;4;unknown;no
83;management;married;tertiary;no;12785;yes;no;unknown;3;jun;2393;13;-1;7;unknown;no
71;blue-collar;single;secondary;no;-720;no;no;unknown;19;jun;1807;6;390;7;unknown;no
52;blue-collar;divorced;secondary;no;11241;yes;no;unknown;30;may;728;19;-1;5;unknown;no
78;blue-collar;single;secondary;no;8011;yes;no;telephone;28;nov;1893;13;-1;4;unknown;yes
58;blue-collar;single;secondary;no;12147;yes;no;cellular;1;jan;2437;22;-1;1;unknown;no
50;admin.;single;secondary;no;-371;yes;no;unknown;4;mar;179;9;-1;0;unknown;no
85;admin.;married;tertiary;no;3499;yes;no;unknown;24;dec;2684;11;-1;6;unknown;no
50;blue-collar;married;primary;no;6634;yes;no;cellular;11;apr;2423;10;-1;9;unknown;yes
31;admin.;divorced;tertiary;no;1014;no;no;cellular;7;oct;2230;3;-1;9;unknown;yes
38;retired;divorced;secondary;no;8773;no;no;cellular;7;jul;2891;19;-1;6;other;no
65;blue-collar;divorced;secondary;no;6280;no;no;telephone;14;may;2376;27;-1;1;unknown;no
37;blue-collar;married;secondary;no;6653;no;no;cellular;15;feb;1968;7;-1;2;failure;yes
25;entrepreneur;single;secondary;yes;9820;no;no;unknown;5;mar;2537;23;-1;7;failure;no
24;services;married;secondary;no;5637;no;no;cellular;14;jan;2247;5;90;3;failure;yes
84;technician;married;tertiary;no;11390;yes;no;cellular;13;jun;2743;24;-1;4;unknown;yes
34;student;married;secondary;no;14155;no;yes;cellular;20;aug;2526;24;269;6;unknown;no
50;services;married;tertiary;no;1060;yes;no;cellular;26;apr;2856;27;-1;7;failure;no
65;management;married;secondary;no;11697;yes;no;cellular;22;feb;1759;27;-1;0;unknown;no
93;services;married;secondary;no;13313;yes;yes;cellular;18;dec;1478;15;138;6;unknown;no
76;management;married;secondary;no;5510;yes;no;cellular;1;apr;991;2;95;2;unknown;no
39;blue-collar;married;unknown;no;950;no;no;cellular;13;oct;1897;11;-1;4;failure;yes
47;blue-collar;single;secondary;no;12387;yes;no;cellular;23;apr;1463;6;-1;0;success;yes
55;blue-collar;single;secondary;no;4063;no;no;cellular;29;may;1912;5;-1;2;unknown;no
68;technician;married;tertiary;no;12205;yes;no;unknown;20;mar;2546;20;-1;4;unknown;yes
71;management;married;secondary;no;9922;yes;no;unknown;7;sep;1982;7;71;0;unknown;yes
25;services;single;tertiary;no;5661;yes;no;unknown;6;jul;2677;4;-1;1;success;no
44;entrepreneur;married;secondary;no;1421;no;no;cellular;27;sep;1179;5;-1;2;unknown;no
44;management;married;secondary;no;-10;no;no;cellular;9;jul;1482;24;-1;7;unknown;yes
38;blue-collar;single;secondary;no;11057;yes;yes;cellular;28;dec;1694;5;-1;4;unknown;no
47;blue-collar;divorced;tertiary;no;-518;yes;yes;unknown;10;oct;2230;27;-1;4;success;yes
45;technician;married;secondary;no;545;no;no;cellular;22;apr;435;29;-1;2;unknown;yes
81;retired;married;secondary;no;2220;yes;yes;unknown;3;may;1737;27;-1;8;unknown;no
86;entrepreneur;married;primary;no;10491;yes;no;cellular;7;jul;1601;25;-1;8;unknown;no
78;technician;married;secondary;no;-1358;yes;no;cellular;25;jun;45;10;-1;1;unknown;yes
65;blue-collar;married;tertiary;no;11332;yes;no;cellular;30;sep;2923;18;3;7;unknown;no
36;unknown;married;secondary;no;-414;yes;no;unknown;11;mar;1795;2;330;0;unknown;no
21;entrepreneur;married;secondary;no;4504;yes;no;cellular;26;aug;1941;15;-1;4;unknown;no
52;entrepreneur;divorced;secondary;no;14438;no;no;cellular;12;nov;1964;9;-1;6;unknown;no
81;blue-collar;single;secondary;no;12627;no;no;unknown;12;oct;243;2;-1;7;other;no
66;blue-collar;single;secondary;no;4928;no;no;telephone;13;nov;155;3;293;7;unknown;no
34;blue-collar;single;secondary;no;2587;yes;no;cellular;22;apr;961;22;-1;5;unknown;yes
61;self-employed;married;tertiary;no;8186;no;no;cellular;23;sep;2296;20;134;6;other;yes
47;technician;single;unknown;no;8124;no;no;cellular;8;jan;944;24;-1;3;unknown;no
63;technician;married;secondary;no;3056;no;no;cellular;4;may;1278;24;301;9;unknown;yes
23;blue-collar;married;tertiary;no;3982;yes;no;unknown;21;dec;1385;2;-1;6;unknown;no
54;management;single;primary;no;272;yes;yes;cellular;20;apr;1736;2;-1;6;unknown;no
41;admin.;single;secondary;no;4141;no;yes;unknown;1;may;2866;19;-1;8;unknown;no
63;admin.;single;secondary;no;7161;no;no;cellular;6;jun;1962;14;204;1;unknown;no
70;self-employed;married;secondary;no;-929;no;no;cellular;23;jan;2693;27;-1;7;unknown;no
77;management;divorced;secondary;no;4376;no;no;unknown;2;aug;2424;18;-1;8;unknown;no
80;admin.;divorced;tertiary;no;1630;yes;yes;cellular;22;dec;152;21;147;2;failure;no
49;admin.;married;tertiary;no;-1773;yes;no;unknown;14;nov;2819;1;-1;7;unknown;no
50;unknown;married;primary;no;13342;no;no;telephone;27;mar;2287;7;-1;0;unknown;no
84;admin.;married;secondary;no;4665;yes;no;cellular;18;jul;1463;8;-1;9;other;yes
35;management;divorced;unknown;no;12008;yes;no;cellular;10;jul;2650;12;-1;4;unknown;no
42;management;married;secondary;no;5993;no;yes;cellular;29;sep;239;4;-1;0;unknown;no
